Age,Gender,MonthlyCharges,Tenure,NumProducts,HasComplained,Churn
43,Male,95,58,1,1,1
59,Female,45,60,2,1,1
30,Female,35,50,4,1,0
68,Male,70,28,1,1,1
49,Male,105,41,4,0,1
56,Male,76,64,1,1,1
66,Male,48,27,3,0,0
69,Female,97,63,1,0,1
49,Female,111,17,4,1,1
21,Female,88,33,3,1,1
47,Female,66,29,3,0,0
54,Female,113,13,3,0,1
40,Female,81,46,4,0,1
56,Male,88,35,2,1,1
62,Female,95,6,2,1,1
32,Male,35,69,2,1,0
60,Male,109,47,4,1,1
46,Female,109,25,3,1,1
53,Male,67,66,2,0,0
30,Female,104,10,4,1,1
49,Male,58,56,2,0,0
24,Female,119,30,1,0,1
68,Male,52,5,2,0,0
39,Female,113,33,2,1,1
45,Female,42,65,3,1,1
19,Female,29,18,4,1,1
59,Female,88,49,3,0,0
62,Female,119,11,3,0,1
23,Male,53,26,3,0,0
45,Male,71,63,3,0,0
45,Male,114,59,3,0,1
61,Female,29,27,2,0,0
61,Male,38,49,3,1,0
37,Female,77,33,3,1,0
47,Female,115,1,4,1,1
28,Male,20,21,1,1,1
45,Male,88,55,2,0,0
42,Female,23,6,2,0,0
56,Male,35,69,2,1,1
50,Female,43,5,3,0,0
18,Female,99,3,3,1,1
44,Female,21,53,3,1,0
69,Female,111,23,4,1,1
30,Female,51,53,1,0,0
58,Male,110,37,3,1,1
20,Male,103,17,1,1,1
56,Female,43,1,4,1,1
